atom,energy
H,72.8
Li,59.6
Be,-18
B,26.7
C,121.9
N,-7
O,141
F,328
Ne,-29
Na,52.9
Mg,-21
Al,44
Si,133.6
P,72
S,200.4
Cl,349
Ar,-35
K,48.4
Ca,-186
Sc,18.1
Ti,7.6
V,50.7
Cr,64.3
Fe,15.7
Co,63.8
Ni,156
Cu,118.5
Zn,9
Ga,30
Ge,116
As,78
Se,195
Br,324.7
Kr,-39
Rb,46.9
Sr,-146
Y,29.6
Zr,41.1
Nb,86.2
Mo,72
Tc,96
Ru,101
Rh,109.7
Pd,53.7
Ag,125.7
Cd,-26
In,30
Sn,116
Sb,101
Te,190.2
I,295.2
Xe,-41
Cs,45.5
Ba,-46
La,50
Ce,50
Pr,50
Nd,50
Pm,50
Sm,50
Eu,50
Gd,50
Tb,50
Dy,50
Ho,50
Er,50
Tm,50
Yb,50
Lu,50
Ta,14
W,78.6
Re,14
Os,106
Ir,151
Pt,205.3
Au,222.8
Hg,-18
Tl,20
Pb,35.1
Bi,91.3
Po,183
At,270
Rn,-41
Fr,44
Ra,50
Ac,50
Th,50
Pa,50
U,50
Np,50
Pu,50
Am,50
Cm,50
Bk,50
Cf,50
Es,50
Fm,50
He,0
Mn,0
